V1,V2,V3,V4,V5,V4a,V5a,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V82b,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373
Argentina,1989,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,1.05,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,92,,89,80,,86,,1957,,,,,,,,,,,0,12,,6.59,0,6,,,,,,,,13,13,,7.08,0,100,12,,,0,6,,,,,,,,0.01,,3.02,8.31,21.97,71.34,74.97,67.88,207.32,106.96,,25.3,,,18322,20576,,67.58,82.04,,,,,,,,99.52,,,,74.57,77.22,1.07,71.98,46.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.02,51.13,14.89,1.46,,50.95,8.97,3.20E+07,,,,,,,,,,,,,,,,,,,,,,,,-1.00E+09,1.34,1.34,0.08,0.08,1.00E+09,6.40E+07,-2.60E+09,2.00E+11,3.20E+11,3.20E+09,-7.5,6173.69,9771.8,100.55,-8.84,,,,,1.80E+11,2.90E+11,3.00E+09,-11.37,5669.04,92.13,2910,,,9.40E+10,,,13.63,,,73.51,,,17235.8,,,,,19.64,6.51,6.58,,,,3.50E+07,0,,,93.33,2.30E+09,2.80E+08,3.10E+09,3.05,2.10E+09,7.08,,-1.50E+09,,,,,,-3.60E+09,,,,,,,6.50E+09,0,0,0,0,0,0,0,0,0,,2,1,8.89,7,0.83,0.82,0.84,0.66,0.57,0.77,0.7,1,0,0,0,0,1,0,0,0,1,1,1,0,0.87,2.3,2.43,1.75,1.84,-1.17,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,3,2,1.29,0.4,1.49,1.5,,,,,,,,,,,,,
Argentina,1990,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,1.07,,,,5.73,,,,,,,,,,,,,,,,,,,4.59,,,2.68,,,99,,93,87,,90,,1957,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,7.93,0,100,12,,,,,,,,,,,,0.02,,2.99,8.26,21.8,71.54,75.19,68.07,204.72,105.21,15.4,24.4,27.2,21.5,18204,20410,11463,67.97,82.33,,,,,,,,99.29,99.32,99.26,1,76.6,79.33,1.07,73.95,47.98,59.57,1.63,36.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.03,65.4,54.25,39.82,76.68,57.63,1.30E+07,51.93,,5.04,3.43,,,,,,,,,,65.75,50.74,15.01,1.43,,50.97,9.05,3.30E+07,,,,,,,,,,,,,,,,,,,,,0.3,,0.62,-1.80E+09,1.3,1.3,0.02,0.02,1.80E+09,3.50E+07,1.30E+09,1.90E+11,3.10E+11,6.90E+10,-2.4,5939.76,9401.53,2105.79,-3.79,10815.7,6990.55,3.50E+11,2.30E+11,1.90E+11,2.90E+11,6.60E+10,1.97,5698.34,2013.39,3170,10381.4,6680,1.00E+11,3.40E+11,2.20E+11,16.04,,,77.14,,,1517.88,,,,,14.99,3.94,4.63,,,,0,0,,,46.23,2.60E+09,2.80E+08,3.10E+09,2.02,2.70E+09,8.46,,-1.90E+09,,,-0.11,,-7.40E+07,-4.60E+09,4.84,17.97,21.96,2.48,5.13,14.22,-3.10E+09,0,0,0,0,0,0,0,0,0,6.3,3,1,8.54,7,0.78,0.77,0.83,0.61,0.57,0.73,0.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0.88,2.3,2.43,1.75,1.84,-1.49,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,3,2,0.59,1.02,0.42,0.93,,,,,,,,,,,,,
Argentina,1991,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,99,,99,80,,86,,1957,,,,,,,,,,,,,,6.32,,,,,,,,,,,,,8.39,0,100,12,,,,,,,24,50,17,52,,0.03,,2.95,8.21,21.6,71.76,75.43,68.28,202.11,103.46,15,23.6,,,17792,19913,11284,68.37,82.61,,,,,,,,99.12,,,,78.97,81.36,1.06,76.64,53.18,64.7,1.55,41.83,98.3,98.54,98.07,96.13,96.04,96.22,,,,,,,,,,,,,,,0.13,32.65,40.2,19.24,0.46,0.34,80.22,37.08,72.48,54.18,36.91,57.98,47.47,,,,,,,,42.02,64.83,53.46,39.65,76.64,57.51,1.30E+07,51.73,,,,,,,6.47,5.43,5.8,12.17,10.57,11.2,65.64,50.47,15.17,1.41,,50.98,9.16,3.30E+07,46.76,36.6,1.75,9.07,13.29,4.82,52.42,20.41,1.23,1.1,,,,,,0.67,,3.91,,,0.68,,0.71,-2.40E+09,1.29,1.29,,,2.40E+09,,-4.80E+08,2.20E+11,3.50E+11,1.80E+11,12.67,6598.72,10444.5,5449.73,11.09,12015.6,8024.59,4.00E+11,2.70E+11,2.10E+11,3.40E+11,1.80E+11,14.05,6407.89,5281.33,3950,11674.1,7780,1.30E+11,3.90E+11,2.60E+11,13.56,,,80.44,,,61.68,,,,,13.75,3.38,6.08,,,,1.00E+09,0,,,35.72,2.80E+09,2.40E+08,2.50E+09,1.59,2.90E+09,8.66,,2.20E+09,,,-0.23,,-4.20E+08,-6.90E+08,5.01,3.27,27.52,3.29,4.99,7.88,3.20E+09,0,0,0,0,0,0,0,0,0,,3,1,8.54,7,0.77,0.76,0.83,0.62,0.57,0.72,0.65,1,0,0,0,0,0,0,0,1,0,1,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,3,2,0.57,1.02,0.37,0.93,,,,,,,,,,,,,
Argentina,1992,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,4.64,,,,,,,,,,,,,,,,,,,,,2.07,2.66,,,99,,92,81,,85,,1957,,,,,,,,,,,,,,6.32,,,,,,,,,,,,80.76,8.45,0,100,12,,,,,,,24,50,17,52,,0.04,,2.91,8.15,21.37,71.99,75.67,68.49,199.51,101.71,14.7,22.8,,,17137,19214,11027,68.76,82.9,,,,,,,,,,,,79.45,81.89,1.06,77.09,58.33,69.75,1.48,47.13,,,,,,,,,,,,,,,,,,,,,0.31,32.13,40.18,18.22,0.45,0.4,80.75,37.12,71.34,53.64,36.27,55.8,46.07,,,,,,,,41.18,64.16,52.71,39.72,76.53,57.49,1.40E+07,51.9,29999,,,,,,6.54,6.79,6.7,11.93,13.03,12.6,65.15,49.84,15.31,1.38,,50.99,9.27,3.40E+07,45.47,34.29,1.6,9.2,13.86,4.6,50.86,21.48,1.96,2.05,,,,,,1.18,,4.48,,,0.74,,0.75,-3.30E+09,1.94,1.94,0.51,0.51,4.40E+09,1.20E+09,-4.90E+09,2.50E+11,3.90E+11,2.30E+11,11.94,7285.43,11531.5,6734.13,10.41,13266,9061.65,4.50E+11,3.00E+11,2.40E+11,3.80E+11,2.20E+11,13.25,7157.59,6608.8,6280,13039.9,8890,2.10E+11,4.40E+11,3.00E+11,13.65,,,81.86,,,16.78,,,,,14.73,3.71,8.13,,,,3.50E+08,0,,,30.56,2.50E+09,1.80E+08,2.30E+09,1.26,2.80E+09,7.73,,3.40E+09,,,0.26,,6.00E+08,5.80E+08,5.55,1.06,29.98,3.92,6.69,7.82,2.90E+09,0,0,0,0,0,0,0,0,0,,3,2,8.18,7,0.72,0.7,0.83,0.62,0.57,0.72,0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,3.08,2,0.57,1.86,0.37,0.93,,,,,,,,,,,,,
Argentina,1993,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,4.6,,,,,,99,,95,81,,82,,1957,,,,,,,,,,,,,,6.32,,,,,,,,,,,,83.6,7.88,0,100,12,,,,,,,24,50,17,52,,0.2,6.3,2.87,8.08,21.1,72.22,75.91,68.7,196.41,100.41,14.4,22.1,,,16400,18339,10666,69.23,83.1,,,,,,95,,,,,,79.36,81.73,1.06,77.06,62.23,74.63,1.49,50.1,,,,,,,,,,,,,,,,,,,,,0.29,29.54,37.83,15.74,0.55,0.45,83.14,34.76,70.06,51.8,30.42,53.28,41.89,,,,,,,,40.81,63.58,52.23,40.12,76.37,57.62,1.40E+07,52.53,,,,,,,13.35,8.27,10.1,25.45,16.2,19.8,64.43,49.01,15.42,1.35,,51,9.38,3.40E+07,44.86,33.2,1.48,9.32,14.32,4.45,49.9,22.01,2.21,2.42,,,,,,1.25,,5.16,,,0.72,,0.72,-2.10E+09,1.18,1.18,0.3,0.3,2.80E+09,7.10E+08,-3.40E+10,2.60E+11,4.10E+11,2.40E+11,5.91,7612.68,12049.5,6933.41,4.49,13862,9693.97,4.70E+11,3.30E+11,2.60E+11,4.10E+11,2.30E+11,6.51,7521.65,6843.44,7070,13703.1,9570,2.40E+11,4.70E+11,3.30E+11,15.59,,,69.84,2.80E+11,,11.34,,,,,16.22,3.96,9.31,,,,1.80E+09,0,,,27.68,3.70E+09,2.10E+08,3.50E+09,1.4,3.30E+09,11.38,,1.00E+10,,,0.48,,1.10E+09,7.20E+09,8.02,0.19,33.88,5.79,15.29,7.62,-3.90E+09,0,0,0,0,0,0,0,0,0,,3,2,8.18,7,0.72,0.71,0.83,0.62,0.57,0.73,0.66,1,0,0,0,0,0,0,0,1,0,1,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,4,2,0.57,1.86,0.37,0.93,,,,,,,,,,,,,
Argentina,1994,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,2.16,,,,99,,96,82,,85,,1957,,,,,,,,,,,,,,6.32,,,,,,,30,,,,,83.95,8.23,0,100,12,,,,,,,24,50,17,52,,0.24,6.91,2.82,8.02,20.8,72.44,76.14,68.92,193.31,99.11,14,21.4,,,15616,17555,10198,69.69,83.3,,,,,,,,98.99,98.75,99.22,1,79.17,81.81,1.07,76.6,64.81,78.24,1.51,51.69,,,,,,,,,,,,,,,,,,,,,0.23,28.46,37.01,13.96,0.58,0.45,85.18,34.59,68.13,50.78,29.74,50.31,40.07,,,,,,,,40.57,63.14,51.9,40.52,76.25,57.76,1.40E+07,53.15,,,,,,,14.64,10.65,12.1,26.71,20.31,22.8,63.7,48.2,15.5,1.3,,51,9.47,3.50E+07,45.92,34.44,1.5,9.03,14.03,4.38,50.96,21.6,2.22,2.28,,,,,,1.45,,5.39,,,0.72,,0.72,-2.60E+09,1.41,1.41,0.39,0.39,3.60E+09,1.00E+09,-9.50E+09,2.70E+11,4.40E+11,2.60E+11,5.84,7952.71,12587.7,7449.48,4.47,14481.1,10342.5,5.00E+11,3.60E+11,2.70E+11,4.30E+11,2.50E+11,5.68,7846,7342.52,7540,14294.1,10190,2.60E+11,4.90E+11,3.50E+11,15.62,6.07,4.7,69.95,3.00E+11,,8.08,1.98,10.06,7.01,,18.13,4.06,10.6,,,,5.10E+08,0,,,29.59,4.10E+09,2.00E+08,4.20E+09,1.52,3.80E+09,10.65,,6.20E+09,,,-0.33,,-8.40E+08,2.40E+09,8.13,0.16,33.4,5.7,19.43,7.3,1.00E+10,0,0,0,0,0,0,0,0,0,,3,2,8.18,7,0.72,0.72,0.83,0.61,0.57,0.73,0.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,4.75,2,0.57,1.86,0.37,0.93,,,,,,,,,,,,,
Argentina,1995,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,5.68,,,,,,,,40.24,19.43,8.31,3.34,4.97,59.76,612.96,69.52,27.98,0.01,,,,,2.68,,,99,,99,85,,90,,1957,,,,,,,,,,,0,7.5,,6.32,30,5.4000001,,,,,30,,,11,16,80.11,8.38,0,100,12,,,3,5.4000001,1,1.5,24,50,17,52,5.9,0.23,6.78,2.76,7.97,20.5,72.67,76.38,69.13,190.2,97.81,13.3,20.8,,,14941,16811,9535,70.15,83.51,,,,,,,,98.64,98.02,99.23,0.99,79.36,82.55,1.08,76.26,65.24,76.82,1.42,53.94,,,,,,,,,,,,,,,,,,,,,0.36,26.99,34.49,14.79,0.79,0.62,84.36,32.08,63.37,47.18,27.96,47.29,37.67,,,,,,,,41.21,63.15,52.23,41.27,76.16,58.1,1.40E+07,54.19,,4.56,,,,,22.26,16.79,18.8,32.16,25.11,27.88,63.08,47.51,15.57,1.26,,51.01,9.55,3.50E+07,48.9,36.96,1.13,8.43,13.27,3.76,53.79,20.76,3.78,4.11,,,,,,2.36,,8.23,,,0.73,,0.73,-4.10E+09,2.17,2.17,0.58,0.58,5.60E+09,1.50E+09,-2.30E+09,2.70E+11,4.20E+11,2.60E+11,-2.85,7630.02,12076.9,7373.43,-4.06,13893.5,10129.8,4.90E+11,3.50E+11,2.60E+11,4.20E+11,2.50E+11,-3.18,7501.52,7240.01,7330,13666.5,9950,2.60E+11,4.80E+11,3.50E+11,15.95,-4.38,-5.57,69.12,2.80E+11,,11.9,5.94,17.85,14.23,,19.77,4.28,10.09,,,,2.30E+09,0,,,38.98,4.90E+09,2.70E+08,6.10E+09,2.1,5.30E+09,9.74,,2.20E+10,,,-1.72,,-4.40E+09,1.70E+10,8.05,0.17,36.48,5.87,17.95,5.22,2.40E+10,0,0,0,0,0,0,0,0,0,,3,2,8.18,7,0.72,0.71,0.82,0.63,0.56,0.72,0.65,1,0,0,0,0,1,0,0,1,0,1,1,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,5,2,0.57,1.86,0.37,0.93,,,,,,,,,,,,,
Argentina,1996,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,3.73,,,,5.26,,,,,,,,42.28,18.26,8.02,3.39,4.63,57.72,616.81,70.38,29.76,0.05,,3.29,,,,,,99,,99,83,,90,,1957,,,,,,,,,,,,,,6.32,,,3,100,12,,30,,,,,77.38,8,0,100,12,,,,,,,24,50,17,52,6.3,0.26,6.97,2.71,7.92,20.21,72.89,76.61,69.34,187.1,96.52,12.6,20.2,,,14316,16117,8912,70.62,83.71,,,,,,,,98.81,98.34,99.27,0.99,78.98,82.59,1.09,75.48,63.79,75.82,1.46,52.06,,,,,,,,,,,,,,,,,,2.4,4.67,6.04,0.21,24.89,32.57,12.1,1.09,0.76,87.28,33.06,64.02,47.99,24.54,42.63,33.63,,,,,24.51,23.19,25.32,39.54,61.05,50.35,41.44,75.7,57.97,1.50E+07,54.74,,,,,,,20.21,15.43,17.2,37.93,30.17,33.2,62.64,46.95,15.69,1.21,,51.02,9.65,3.50E+07,49.52,36.87,1.03,8.2,13.13,3.51,53.95,21.19,4.33,4.63,,,,,,2.88,,8.98,,,0.71,,0.71,-5.30E+09,2.55,2.55,0.59,0.59,6.90E+09,1.60E+09,-9.60E+09,2.80E+11,4.50E+11,2.70E+11,5.53,7955.13,12591.5,7683.57,4.26,14485.5,10754.2,5.10E+11,3.80E+11,2.80E+11,4.40E+11,2.70E+11,5.27,7802.33,7528.24,7700,14214.5,10540,2.70E+11,5.00E+11,3.70E+11,15.59,5.53,4.27,70.07,3.00E+11,,7.36,3.15,10.51,10.57,,21.51,4.53,11.08,,,,9.50E+08,0,,,41.68,5.40E+09,2.70E+08,6.30E+09,2.31,6.20E+09,8.99,,1.40E+10,,,-2.33,,-6.40E+09,7.60E+09,8.17,0.47,39.25,5.91,21.09,6.55,1.20E+10,0,0,0,0,0,0,0,0,0,,3,2,8.18,7,0.73,0.71,0.83,0.64,0.57,0.72,0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,5,2,0.57,1.86,0.75,0.93,-0.21,0.27,0.02,0.04,0.62,0.29,,,,,,,
Argentina,1997,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.55,18.03,8.36,3.81,4.55,54.45,683.69,63.21,28.79,0.04,,,,,,,,99,,93,88,,92,,1957,,,,,,,,,,,0,7.5,,5.68,0,7.5,3,100,12,,30,,,11,16,75.82,7.5,0,100,12,,,,5.4000001,1,1.5,24,50,17,52,5.1,0.27,6.61,2.66,7.87,19.95,73.11,76.84,69.55,184,95.22,12,19.6,,,13712,15436,8378,71.08,83.91,,,,,,,,98.8,98.45,99.14,0.99,79.11,83.2,1.11,75.14,66.83,80.86,1.52,53.15,,,,,,,,,,,,,,,,,,2.43,4.61,5.93,0.24,25.41,34,11.21,1.11,0.79,88.02,34.09,65.55,49.26,27.06,46.63,36.9,,,,,23.64,22.46,24.35,38.1,59.14,48.68,41.67,75.31,57.89,1.50E+07,55.33,-80000,,,,,,18.17,12.95,14.9,28.98,21.16,24.2,62.23,46.44,15.79,1.16,,51.04,9.73,3.60E+07,49.11,36.36,1.08,8.21,13.25,3.55,53.65,21.35,3.84,4.14,,,,,,2.35,,8.48,,,0.7,,0.7,-5.50E+09,3.13,3.13,1.25,1.25,9.20E+09,3.70E+09,-1.10E+10,3.00E+11,4.80E+11,2.90E+11,8.11,8500.94,13455.4,8172.67,6.86,15479.4,11688.8,5.50E+11,4.20E+11,3.00E+11,4.70E+11,2.90E+11,7.98,8327.32,7999.15,8110,15170.9,11440,2.90E+11,5.40E+11,4.10E+11,15.21,8.98,7.72,70.78,3.30E+11,,6.97,2.28,9.24,9.75,,23.34,4.62,12.78,,,,1.20E+09,0,,,44.74,5.50E+09,2.80E+08,5.90E+09,2.55,7.30E+09,8.2,,1.90E+10,,,-1.66,,-4.90E+09,1.20E+10,8.69,0.53,40.74,6.38,21.32,7.57,1.70E+10,0,0,0,0,0,0,0,0,0,27.6,3,2,8.18,7,0.72,0.71,0.83,0.64,0.57,0.72,0.65,1,0,0,0,0,0,0,0,1,0,1,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,5,2.42,0.57,1.86,0.75,0.93,,,,,,,,,,,,,
Argentina,1998,1,160,ARG,166,AR,0,18,,,,,,,,,,,,,,,,15.62,4.04,1.14,0.29,1.42,,11.01,5.19,1.34,15.19,0.85,3.31,20.29,45.83,17.88,8.54,3.91,4.62,54.17,704.46,63.42,29.06,0.05,,,,0.8,3.01,,,99,,95,84,49,90,,1957,,,,,,,,,,,,,,5.68,,,3,100,12,,30,,,,,74.65,7.45,0,100,12,,,,,,,24,50,17,52,5.07,0.29,6.5,2.62,7.84,19.73,73.33,77.08,69.76,182.88,94.41,11.5,19.1,,,13228,14874,7948,71.34,84.13,,,,,,,,99.06,98.83,99.29,1,79.2,83.63,1.12,74.91,66.35,80.25,1.52,52.8,,,,,,,,,,,,,,,,,,2.39,4.57,5.96,0.22,24.8,33.98,10.4,1.11,0.76,89.05,35.64,66.37,50.46,27.15,45.07,36.17,,,,,23.28,22.03,24.06,36.81,57.36,47.16,41.94,74.96,57.86,1.50E+07,55.95,,,,,,,15.03,11.46,12.8,26.26,21.43,23.3,61.84,45.97,15.87,1.13,,51.05,9.81,3.60E+07,50.73,38.05,1.07,7.79,12.7,3.41,55.08,21.02,4.02,4.59,,,,,,2.28,,9.77,,,0.68,,0.68,-5.00E+09,2.44,2.44,0.78,0.78,7.30E+09,2.30E+09,-8.80E+09,3.20E+11,5.00E+11,3.00E+11,3.85,8728.95,13816.3,8248.76,2.68,15894.6,12132.5,5.80E+11,4.40E+11,3.10E+11,4.90E+11,2.90E+11,3.48,8520.36,8044.41,7990,15522.6,11830,2.90E+11,5.60E+11,4.30E+11,15.09,3.48,2.31,70.09,3.40E+11,,7.56,3.07,10.64,12.55,,23.35,4.72,12.93,,,,3.80E+09,0,,,48.54,7.20E+09,2.60E+08,5.40E+09,3.06,8.90E+09,9.6,,1.40E+10,,,-1.59,,-4.70E+09,4.90E+09,9.03,0.1,41.79,6.62,24.15,6.58,1.30E+10,0,0,0,0,0,0,0,0,0,27.6,3,3,7.82,7,0.68,0.67,0.83,0.64,0.57,0.72,0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0.88,2.3,2.43,1.75,1.84,-2.45,0.31,0.25,0.01,1,1,0.84,0,0.01,0.83,0.83,5,3,0.57,1.86,0.75,0.93,-0.18,0.38,-0.18,-0.04,0.59,0.17,,,,,,,
